0,1,2,3,4,5,6,7,8,9,10,11,table_id,table_page
Lp.,"Numer 
umowy","Data 
zawarcia 
umowy","Miejsce 
zawarcia 
umowy","Okres obowiązywania 
umowy",,"Oznaczenie 
stron umowy","Oznaczenie 
przedstawiciel
i stron umowy","Przedmiot 
umowy","Wartość 
przedmiotu 
umowy","Tryb 
zawarcia 
umowy","Dodatkowe 
informacje",1,1
,,,,od,do,,,,,,,1,1
1,"70017859
10","28-07-
2022",Warszawa,"28-07-
2022","31-12-
2023","E.ON Polska  
S.A 
 
Platforma 
Obywatelska 
RP","Jakub 
Kacprzewski 
Łukasz 
Polinceusz","sprzedaż 
energii 
elektrycznej, 
świadczenie 
usług 
dystrybucji",-,negocjacje,-,1,1
2,-,"19-08-
2022",Mysiadło,"28-08-
2022","28-08-
2022","Gmina 
Lesznowola 
 
Platforma 
Obywatelska 
RP","Rafał Skorek 
Łukasz 
Pawełek","udostępnienie 
boiska","1230,00",negocjacje,-,1,1
3,"UM/0061
5091/202
2","29-08-
2022",Warszawa,"29-08-
2022","czas 
określony-
24 
miesiące 
liczone od 
dnia 
uruchomie
nia Usługi","Orange Polska 
SA 
Platforma 
Obywatelska 
RP","Rafał 
Tarkowski 
 
Łukasz 
Pawełek","usługi  
telekomunikac
yjne","172,20 
miesięcznie",negocjacje,-,1,1
4,-,"08-09-
2022","Bełcható
w","01-10-
2022","Czas 
nieokreślo
ny","FPHU 
HOFMAN 
 
Platforma 
Obywatelska 
RP","Andrzej 
Hofman 
Łukasz 
Pawełek",najem lokalu,"1230,00 
miesięcznie",negocjacje,-,1,1
5,-,"13-09-
2022",Lublin,"01-10-
2022","Czas 
nieokreślo
ny","Corner House 
Sp. z o.o. 
Platforma 
Obywatelska RP","Tomasz 
Kalinowski 
Łukasz 
Pawełek",najem lokalu,"7760,07 
miesięcznie",negocjacje,-,2,2
6,"15/09/202
2","15-09-
2022",Warszawa,"24-09-
2022","24-09-
2022","Fundacja Szkoła 
Liderów 
Platforma 
Obywatelska RP","Przemysław 
Radwan-
Rohrenschef 
Łukasz 
Pawełek","usługa 
szkoleniowa","6642,00",negocjacje,-,2,2
7,-,"16-09-
2023",Warszawa,"16-09-
2023","24-11-
2022","Appworks 
Software House 
Sp.zo.o. 
Platforma 
Obywatelska RP","Tomasz 
Stankiewicz 
Łukasz 
Pawełek","wykonanie 
serwisów 
internetowych","6396,00",negocjacje,-,2,2
8,"I0G00CZB
.221.78.20
22","22-09-
2022",Wrocław,"23-09-
2022","25-09-
2022","Uniwersytet  
Przyrodniczy we 
Wrocławiu  
Platforma 
Obywatelska RP","Krzysztof 
Grembowski 
Łukasz 
Pawełek","wynajem 
miejsc 
noclegowych","33696,00",negocjacje,-,2,2
9,-,"27-09-
2022",Toruń,"14-10-
2022","14-10-
2022","Toruński 
Inkubator 
Technologiczny  
Platforma 
Obywatelska RP","Paweł 
Żywiecki 
Łukasz 
Pawełek","wynajem  
sali","430,50",negocjacje,-,3,3
10,-,"28-09-
2022",Warszawa,"05-10-
2022","05-10-
2022","Agma-Sport 
Agnieszka 
Matuszyk 
Platforma 
Obywatelska RP","Agnieszka 
Matuszczyk 
Łukasz 
Pawełek","organizacja 
szkolenia","10012,20",negocjacje,-,3,3
11,"2022/09/3
0/7000134
0/2868","30-09-
2022",Warszawa,"30-09-
2022","czas 
określony-
12 
miesięcy","Polkomtel sp. 
zo.o.  
Platforma 
Obywatelska RP","Marcin 
Szafraniec  
Łukasz 
Pawełek","usługi  
telekomunika
cyjne","86,10 
miesięcznie",negocjacje,-,3,3
12,"2022/09/3
0/7000134
0/2869","30-09-
2022",Warszawa,"30-09-
2022","czas 
określony-
12 
miesięcy","Polkomtel sp. 
zo.o.  
Platforma 
Obywatelska RP","Marcin 
Szafraniec  
Łukasz 
Pawełek","usługi  
telekomunika
cyjne","86,10 
miesięcznie",negocjacje,-,3,3
13,-,"30-09-
2022",Warszawa,"01-10-
2022","31-12-
2022","Softstar 
Krzysztof 
Kościński 
Platforma 
Obywatelska RP","Krzysztof 
Kościński 
Łukasz 
Pawełek","usługi  
informatyczne","5000,00 
miesięcznie",negocjacje,-,4,4
14,-,"04-10-
2022",Poznań,"05-10-
2022","05-10-
2022","Pronex Piotr 
Krakowski 
Platforma 
Obywatelska RP","Piotr 
Krakowski 
Łukasz 
Pawełek","usługa 
  szkoleniowa","9400,00",negocjacje,-,4,4
15,-,"04-10-
2022",Warszawa,"04-10-
2022","21-11-
2022","Mantle Poland 
sp. z .o.o. 
Platforma 
Obywatelska RP","Roelof Jan 
Molemaker 
Łukasz 
Pawełek",ekspertyza,"169 494,00",negocjacje,-,4,4
16,"ADM.221.
14.2022.K
S","06-10-
2022",Warszawa,"18-10-
2022","18-10-
2022","Biblioteka 
Publiczna im. 
Jana Pawła II w 
Dzielnicy 
Rembertów m 
s.t. Warszawy 
Platforma 
Obywatelska RP","Anna Sajnog 
Łukasz 
Pawełek",najem sali,"375,00",negocjacje,-,4,4
17,"UM/00626
574/2022","06-10-
2022",Warszawa,"06-10-
2022","czas 
określony-
12 
miesięcy","Orange Polska  
SA 
Platforma 
Obywatelska RP","Katarzyna 
Stodolska 
Łukasz 
Pawełek","usługi  
telekomunika
cyjne","93,48 
miesięcznie",negocjacje,-,5,5
18,-,"12-10-
2022",Gdańsk,"26-11-
2022","26-11-
2022","Międzynarodow
e Targi Gdańskie 
S.A. 
Platforma 
Obywatelska RP","Mateusz 
Nowaczyk 
Jan Grabiec","wynajem  
sali 
konferencyjne
j","4428,00",negocjacje,-,5,5
19,-,"25-10-
2022",Warszawa,"25-10-
2022","24-11-
2022","Dom Mediowy 
AM Studio sp. z 
o.o.  
 
 
Platforma 
Obywatelska RP","Andrzej 
Moebus  
 
 
Jan Grabiec","organizacja i 
przeprowadze
nie imprezy","2
25 617,19",negocjacje,-,5,5
20,-,"25-10-
2022","Lesznowo
la","29-10-
2022","29-10-
2022","Gmina 
Lesznowola 
Platforma 
Obywatelska RP","Mirosław 
Wilusz 
   Jan Grabiec","wynajem 
terenu","246,00",negocjacje,-,5,5
21,-,"28-10-
2022",Poznań,"01-11-
2022","31-12-
2022","Pronex  
Platforma 
Obywatelska RP","Piotr 
Krakowski  
 Jan Grabiec","świadczenie 
usługi 
infolinii","1968,00",negocjacje,-,6,6
22,-,"28-10-
2022","Czechowi
ce-
Dziedzice","01-11-
2022","czas 
nieokreślo
ny","Aleksandra 
Suchanek, 
Michał Bieniek 
S.C. 
Platforma 
Obywatelska RP","Aleksandra 
Suchanek  
Jan Grabiec",najem lokalu,"110,70 
miesięcznie
+opłaty za 
media",negocjacje,-,6,6
